trip_id,arrival_time,headsign,service_id
4772666,17:54:00,TF Green Airport via Warwick Ave,hjun2601-Weekday-3-JU2026-1111100
4777346,18:15:00,Shaw's (Warwick),hjun2606-Saturday-2-JU2026-0000010
4771970,18:16:00,Shaw's (Warwick),hjun2601-Weekday-3-JU2026-1111100
4778838,18:25:00,TF Green Airport via Warwick Ave,hjun2607-Sunday-1-JU2026-0000001
4773591,18:36:00,TF Green Airport via Warwick Ave,hjun2601-Weekday-3-JU2026-1111100
4771260,18:57:00,Shaw's (Warwick),hjun2601-Weekday-3-JU2026-1111100
4777334,18:58:00,TF Green Airport via Warwick Ave,hjun2606-Saturday-2-JU2026-0000010
4778862,19:06:00,Shaw's (Warwick),hjun2607-Sunday-1-JU2026-0000001
4773555,19:17:00,TF Green Airport via Warwick Ave,hjun2601-Weekday-3-JU2026-1111100
4777344,19:40:00,Shaw's (Warwick),hjun2606-Saturday-2-JU2026-0000010
4778844,19:42:00,TF Green Airport via Warwick Ave,hjun2607-Sunday-1-JU2026-0000001
4773516,19:57:00,TF Green Airport via Warwick Ave,hjun2601-Weekday-3-JU2026-1111100
4777359,20:21:00,TF Green Airport via Warwick Ave,hjun2606-Saturday-2-JU2026-0000010
4778876,20:26:00,Shaw's (Warwick),hjun2607-Sunday-1-JU2026-0000001
4772672,20:37:00,TF Green Airport via Warwick Ave,hjun2601-Weekday-3-JU2026-1111100
4777342,21:04:00,Shaw's (Warwick),hjun2606-Saturday-2-JU2026-0000010
4773597,21:17:00,TF Green Airport via Warwick Ave,hjun2601-Weekday-3-JU2026-1111100
4777320,21:45:00,TF Green Airport via Warwick Ave,hjun2606-Saturday-2-JU2026-0000010
4773561,21:57:00,TF Green Airport via Warwick Ave,hjun2601-Weekday-3-JU2026-1111100
4773522,22:37:00,TF Green Airport via Warwick Ave,hjun2601-Weekday-3-JU2026-1111100
4772678,23:17:00,TF Green Airport via Warwick Ave,hjun2601-Weekday-3-JU2026-1111100
