trip_id,arrival_time,headsign,service_id
4908981,05:25:00,Broad Street Terminal (Providence),hsep2601-Weekday-27-SE2026-1111100
4908272,05:37:00,Broad Street Terminal (Providence),hsep2601-Weekday-27-SE2026-1111100
4885901,05:45:00,Broad Street Terminal (Providence),hsep2606-Saturday-25-SE2026-0000010
4908159,05:49:00,Broad Street Terminal (Providence),hsep2601-Weekday-27-SE2026-1111100
4885902,06:00:00,Broad Street Terminal (Providence),hsep2606-Saturday-25-SE2026-0000010
4907865,06:00:00,Broad Street Terminal (Providence),hsep2601-Weekday-27-SE2026-1111100
4908133,06:12:00,Broad Street Terminal (Providence),hsep2601-Weekday-27-SE2026-1111100
4902036,06:15:00,Broad Street Terminal (Providence),hsep2607-Sunday-27-SE2026-0000001
4885903,06:20:00,Broad Street Terminal (Providence),hsep2606-Saturday-25-SE2026-0000010
4908042,06:24:00,Broad Street Terminal (Providence),hsep2601-Weekday-27-SE2026-1111100
4902037,06:35:00,Broad Street Terminal (Providence),hsep2607-Sunday-27-SE2026-0000001
4909117,06:36:00,Broad Street Terminal (Providence),hsep2601-Weekday-27-SE2026-1111100
4885904,06:40:00,Broad Street Terminal (Providence),hsep2606-Saturday-25-SE2026-0000010
4909046,06:48:00,Broad Street Terminal (Providence),hsep2601-Weekday-27-SE2026-1111100
4902038,06:55:00,Broad Street Terminal (Providence),hsep2607-Sunday-27-SE2026-0000001
4909713,06:59:00,Broad Street Terminal (Providence),hsep2601-Weekday-27-SE2026-1111100
4885905,07:00:00,Broad Street Terminal (Providence),hsep2606-Saturday-25-SE2026-0000010
4906895,07:11:00,Broad Street Terminal (Providence),hsep2601-Weekday-27-SE2026-1111100
4902039,07:15:00,Broad Street Terminal (Providence),hsep2607-Sunday-27-SE2026-0000001
4885906,07:20:00,Broad Street Terminal (Providence),hsep2606-Saturday-25-SE2026-0000010
4908984,07:23:00,Broad Street Terminal (Providence),hsep2601-Weekday-27-SE2026-1111100
4902040,07:35:00,Broad Street Terminal (Providence),hsep2607-Sunday-27-SE2026-0000001
4909710,07:35:00,Broad Street Terminal (Providence),hsep2601-Weekday-27-SE2026-1111100
4885907,07:40:00,Broad Street Terminal (Providence),hsep2606-Saturday-25-SE2026-0000010
4908275,07:47:00,Broad Street Terminal (Providence),hsep2601-Weekday-27-SE2026-1111100
4902041,07:55:00,Broad Street Terminal (Providence),hsep2607-Sunday-27-SE2026-0000001
4885908,07:59:00,Broad Street Terminal (Providence),hsep2606-Saturday-25-SE2026-0000010
4908162,07:59:00,Broad Street Terminal (Providence),hsep2601-Weekday-27-SE2026-1111100
4907868,08:11:00,Broad Street Terminal (Providence),hsep2601-Weekday-27-SE2026-1111100
4902042,08:15:00,Broad Street Terminal (Providence),hsep2607-Sunday-27-SE2026-0000001
4885909,08:18:00,Broad Street Terminal (Providence),hsep2606-Saturday-25-SE2026-0000010
4908136,08:23:00,Broad Street Terminal (Providence),hsep2601-Weekday-27-SE2026-1111100
4902043,08:35:00,Broad Street Terminal (Providence),hsep2607-Sunday-27-SE2026-0000001
4908045,08:35:00,Broad Street Terminal (Providence),hsep2601-Weekday-27-SE2026-1111100
4885910,08:38:00,Broad Street Terminal (Providence),hsep2606-Saturday-25-SE2026-0000010
4909120,08:47:00,Broad Street Terminal (Providence),hsep2601-Weekday-27-SE2026-1111100
4902044,08:55:00,Broad Street Terminal (Providence),hsep2607-Sunday-27-SE2026-0000001
4885911,08:58:00,Broad Street Terminal (Providence),hsep2606-Saturday-25-SE2026-0000010
4909049,09:02:00,Broad Street Terminal (Providence),hsep2601-Weekday-27-SE2026-1111100
4902045,09:14:00,Broad Street Terminal (Providence),hsep2607-Sunday-27-SE2026-0000001
4906898,09:17:00,Broad Street Terminal (Providence),hsep2601-Weekday-27-SE2026-1111100
4885912,09:18:00,Broad Street Terminal (Providence),hsep2606-Saturday-25-SE2026-0000010
4908987,09:33:00,Broad Street Terminal (Providence),hsep2601-Weekday-27-SE2026-1111100
4902046,09:34:00,Broad Street Terminal (Providence),hsep2607-Sunday-27-SE2026-0000001
4885913,09:38:00,Broad Street Terminal (Providence),hsep2606-Saturday-25-SE2026-0000010
4908278,09:50:00,Broad Street Terminal (Providence),hsep2601-Weekday-27-SE2026-1111100
4902047,09:54:00,Broad Street Terminal (Providence),hsep2607-Sunday-27-SE2026-0000001
4885914,09:58:00,Broad Street Terminal (Providence),hsep2606-Saturday-25-SE2026-0000010
4908165,10:05:00,Broad Street Terminal (Providence),hsep2601-Weekday-27-SE2026-1111100
4902048,10:13:00,Broad Street Terminal (Providence),hsep2607-Sunday-27-SE2026-0000001
4885915,10:18:00,Broad Street Terminal (Providence),hsep2606-Saturday-25-SE2026-0000010
4907871,10:20:00,Broad Street Terminal (Providence),hsep2601-Weekday-27-SE2026-1111100
4902049,10:33:00,Broad Street Terminal (Providence),hsep2607-Sunday-27-SE2026-0000001
4908139,10:35:00,Broad Street Terminal (Providence),hsep2601-Weekday-27-SE2026-1111100
4885916,10:38:00,Broad Street Terminal (Providence),hsep2606-Saturday-25-SE2026-0000010
4908048,10:50:00,Broad Street Terminal (Providence),hsep2601-Weekday-27-SE2026-1111100
4902050,10:53:00,Broad Street Terminal (Providence),hsep2607-Sunday-27-SE2026-0000001
4885917,10:58:00,Broad Street Terminal (Providence),hsep2606-Saturday-25-SE2026-0000010
4909123,11:05:00,Broad Street Terminal (Providence),hsep2601-Weekday-27-SE2026-1111100
